"","ID","F.1","F.2","F.3","F.4","W.1","W.2","W.3","W.4","logFC","logCPM","PValue","FDR"
"9450","PmetTSAr1.1-019480",16.9137347731672,19.1376898948192,19.4902540234743,17.5512450826115,17.4415866448403,17.9367898595399,14.3574069773834,14.6854978820307,-0.182298848812877,4.10845919588657,0.555626515095649,0.990928336880471
"9451","PmetTSAr1.1-020453",7.20399814412678,13.0349590614868,5.65144912204831,9.08479081511867,10.7505124745083,9.85377654304571,9.82626202305319,9.81830429827195,0.200889615356015,3.24334918190154,0.558274688393752,0.990928336880471
"9452","PmetTSAr1.1-020718",2.99793711587884,5.15473381067886,3.40536036841372,3.42463318685102,3.24755064334105,3.64568899584144,2.89782526149022,3.46857473785106,-0.181055579431847,1.84526349110619,0.556604596542774,0.990928336880471
"9453","PmetTSAr1.1-020794",2.2372665043872,2.72549144012905,3.51404208229927,3.09168273812939,3.16356226463396,3.33320136762646,3.34567098372052,3.21682334558768,0.173818979106518,1.65193989894248,0.556027715417638,0.990928336880471
"9454","PmetTSAr1.1-023400",6.98027149368806,10.220592900484,8.6583098728817,5.27964282972865,8.8747720167165,9.54128891483073,8.87788284656548,8.3357683216098,0.191510160355816,3.07296354648512,0.556818232141389,0.990928336880471
"9455","PmetTSAr1.1-025748",8.32263139632038,8.85784718041942,7.20922035440777,5.94554372717191,8.00689210340984,10.9370669875243,6.29618397723784,9.45466339833595,0.19296466868169,3.03486778693733,0.557869252326331,0.990928336880471
"9456","PmetTSAr1.1-025799",3.44539041675628,4.29561150889905,3.47781484433742,3.8527123352074,2.74362037109848,3.99984164115175,3.16126392162569,3.46857473785106,-0.172149563415942,1.85449363007538,0.55844260977984,0.990928336880471
"9457","PmetTSAr1.1-028350",2.59522914508915,2.9032408818766,3.33290589249003,4.09053408429427,4.22741506159051,3.29153635053113,3.95157990203211,3.16087859175137,0.180890577328379,1.80977028643475,0.556375190092438,0.990928336880471
"9458","PmetTSAr1.1-028512",2.32675716456269,3.28836467232962,3.22422417860448,1.66475224360813,3.72348478934793,3.04154624795914,2.47632340527346,2.76926531489722,0.183568755625209,1.52721371157998,0.556733012352567,0.990928336880471
"9459","PmetTSAr1.1-029552",2.41624782473817,3.49573902103509,2.20986151567273,1.90257399269501,3.58350415816944,2.66656109410117,2.18654087912444,3.0210167071606,0.182830296787685,1.46043069440242,0.558553618769698,0.990928336880471
"9460","PmetTSAr1.1-032154",3.17691843622982,4.44373604368867,3.11554246471894,2.80629663922514,2.96758938098407,5.41645222239299,2.68707433338184,4.47558030690459,0.196486429541031,1.88942325950208,0.555680319791572,0.990928336880471
"9461","PmetTSAr1.1-006134",21.2540317916784,22.4853043810647,21.9899334428418,22.1174226650795,21.4730288227809,27.8113989111332,23.7094794121927,26.4059238107371,0.178289819881764,4.55277057800164,0.558974116113478,0.990959730449663
"9462","PmetTSAr1.1-017850",19.0615106173789,31.3431515614841,16.8818928902212,11.7483944048917,22.7888467558588,21.5824788553813,28.345999830577,18.7135201582448,0.208844276352307,4.41810158868326,0.559031699171895,0.990959730449663
"9463","PmetTSAr1.1-018670",7.24874347421452,9.27259587783037,9.23794568027127,7.70542467041479,9.57467517260897,8.97881118404377,10.6956096015003,8.75535397538211,0.182098731334747,3.16978907979779,0.559029473714594,0.990959730449663
"9464","PmetTSAr1.1-021172",8.54635804675909,9.03559662216697,6.81072073682745,4.94669238100703,5.99117101443953,5.74977235915564,5.21608547068239,8.61549209079134,-0.200367312731371,2.79170791535731,0.558995510742803,0.990959730449663
"9465","PmetTSAr1.1-026095",3.80335305745824,3.31798957928754,4.02122341376514,6.70657332424991,3.69548866311223,3.77068404712743,4.84727134649273,3.27276809942398,-0.190306527293698,2.08168969534538,0.558978222445703,0.990959730449663
"9466","PmetTSAr1.1-000163",194.9554031923,156.923132156126,171.499744511389,285.433663254069,169.48854823092,180.951169245021,158.458354071488,169.23288035483,-0.25417299826495,7.53854057354527,0.559931129507611,0.990989090838189
