"","ID","F.1","F.2","W.3","W.4","F.3","F.4","W.1","W.2","logFC","logCPM","PValue","FDR"
"7654","PmetTSAr1.1-007643",9.30702865825074,8.26534904126093,11.117111457717,12.5875696131692,10.6508079607833,14.7449484433863,13.8300863604352,12.2078500089319,0.316118849041673,3.54219140518494,0.346958077012025,1
"7655","PmetTSAr1.1-007644",5.68265692114348,11.9092125970856,9.24669697075515,5.73433726822151,5.43408569427722,3.09168273812939,11.8423613977006,7.41637304296887,-0.226576707531941,2.92944184730834,0.598395297166556,1
"7656","PmetTSAr1.1-007645",15.2134122298329,21.1225586610002,17.2552322388736,16.8393709047285,14.0199410912352,21.7369078665405,30.0398434509047,32.498713334358,0.481508207353807,4.40323306738066,0.17406505096188,1
"7657","PmetTSAr1.1-007646",14.6317229386923,13.9829560841404,13.6724664610311,15.2449454203938,17.5339831735345,20.785620870193,17.7215479071973,19.9992082057587,0.402229018931712,4.06663197259864,0.2009774148446,1
"7658","PmetTSAr1.1-007647",53.3811787946785,57.5611942192473,41.1754625791746,51.329311644812,35.5751476785348,35.1500545150403,35.9750222128729,97.8294601398365,0.00840350899524379,5.67436092273168,0.984579756810941,1
"7659","PmetTSAr1.1-007648",7.38297946447775,7.28772711164943,6.42790330730557,5.93014390664858,7.46281102014071,5.27964282972865,6.13115164561802,11.020397021715,0.14985573198851,2.84438419322997,0.677281502515658,1
"7660","PmetTSAr1.1-007649",3.53488107693177,3.14024013754,2.23922861115153,2.96507195332429,4.38349579338362,2.90142533885989,3.38753127451955,5.60394479932198,0.464452898685891,1.8416290312268,0.169126923970192,1
"7661","PmetTSAr1.1-007650",11.6337858228134,10.7834661326845,11.2751746537983,11.6085364210338,13.1504873801509,16.6950867858987,10.5825357170941,12.8536577739095,0.232799979275404,3.62986259164579,0.477792698437091,1
"7662","PmetTSAr1.1-007651",53.7838867654682,51.4288384789569,63.5414048246764,63.5532403580452,58.2533986426518,57.9809424273804,54.08851588737,48.7064049844416,-0.0851418763938383,5.81960725348558,0.803054246356779,1
"7663","PmetTSAr1.1-007652",16.4662814722898,11.1982148300955,24.736890186721,10.9371993749981,16.8456656522594,31.7254213281893,22.116939726202,9.10380623532976,0.331440189419736,4.16517219445379,0.428129047078983,1
"7664","PmetTSAr1.1-007653",17.4954240643079,9.95396873786263,25.553550033141,12.4197353516602,18.0411645050004,33.6279953208843,23.0688080182158,10.2912592225467,0.376603037741428,4.2369381537085,0.365031562025904,1
"7665","PmetTSAr1.1-007654",8.63584870693458,9.92434383090471,6.69134196744105,8.83927110613657,7.39035654421701,10.6544143590921,6.5510935391535,8.89548114985311,-0.0267750718327909,3.08837903727447,0.941405985821767,1
"7666","PmetTSAr1.1-007659",12.8866550652703,13.7755817354349,14.0676244512343,13.3987685437956,12.7882150005324,10.8446717583616,12.9342103208928,14.6452535090087,-0.0789304652651894,3.7259858135301,0.804332559140229,1
"7667","PmetTSAr1.1-007660",13.6025803466742,13.5978322936873,13.9359051211666,13.8183541975679,15.1429854680525,11.2727509067179,13.942070865378,14.6660860175564,0.00261343227102847,3.78772845733036,0.996539219433086,1
"7668","PmetTSAr1.1-007662",12.752419075007,11.761088062296,11.8547397060963,13.3428237899593,10.6870351987452,9.9885134616488,10.6665240958012,13.0619828593862,-0.16156045551552,3.56409781063759,0.618969385952518,1
