"","ID","U.1","U.3","R.1","R.2","U.2","U.4","R.3","R.4","logFC","logCPM","PValue","FDR"
"332","PmetTSAr1.1-000673",31.655162111347,153.986053049242,116.842611529941,238.279733259294,339.60355375298,259.892702127124,557.458427557828,525.909009545049,1.63785438521336,8.11890020991426,0.00147231335092824,0.0766800305750004
"333","PmetTSAr1.1-001283",8.44500882488604,9.66263883266432,5.44911890337738,10.0344659508151,27.6528678899286,9.58019799261731,22.1504054425194,16.3716141950436,1.17281680964039,3.77702342844861,0.0014949113908491,0.0774977901793971
"334","PmetTSAr1.1-001381",0.217935711609962,58.3399324302602,0.94033467801645,67.8802108437494,895.118944252879,96.1770054703681,393.86804420082,219.503775155347,3.6549982717847,7.7583182633251,0.00150146085883396,0.0774977901793971
"335","PmetTSAr1.1-012281",3.73214906132061,415.353431560614,6.75112076524631,298.641861254445,2369.76299128469,1262.06323590999,1700.19115593789,1047.43415083408,3.1384050611648,9.79443756993388,0.00150052233444766,0.0774977901793971
"336","PmetTSAr1.1-002377",18.3610837031393,21.1177671879099,12.4654622701155,14.3837700781034,90.771636184718,27.4109579575243,28.4847132156022,22.772837754717,1.3525622053394,4.88294412575271,0.00154164241719674,0.0793349376063955
"337","PmetTSAr1.1-001108",45.4940797985796,47.164880562918,37.1552753544449,41.5358544156032,248.524663480596,65.015792070894,64.8381317393818,82.4787956840347,1.42717572185838,6.30486371448729,0.00155269849376056,0.0795352416786413
"338","PmetTSAr1.1-009491",1.58003390917223,1.40038243951657,1.10911269714761,3.1998451793621,4.7843850793686,3.88662836711165,4.09172676025225,3.45278119279355,1.15709698248936,1.57715251838385,0.00155473435240187,0.0795352416786413
"339","PmetTSAr1.1-005797",2.26108300795336,114.10316117181,3.71311642088547,2.11251914754003,3.68704905199048,3.20476374130259,5.11465845031531,2.32771765806307,-3.09026493737543,4.10106711447543,0.00156920514916829,0.0800387204550705
"340","PmetTSAr1.1-005752",10.5698820130832,8.17823344677676,8.51123439332838,25.2259639382721,24.0974991612235,21.6832951007281,57.5202358027768,30.4543060263251,1.35001175755615,4.54363766984444,0.00157480937237745,0.0800883201699368
"341","PmetTSAr1.1-001488",71.1015259127502,96.7384189218045,61.0494206342988,179.160263586225,293.954375014051,137.122976250202,320.728428361311,321.496603872811,1.39526425458723,7.53299820364481,0.00161022414354293,0.0816492248269819
"342","PmetTSAr1.1-001163",49.6076163552177,29.4920541762189,6.05189754313151,120.506790783938,217.667574390724,54.9582888402103,224.100727176892,478.772726969272,2.24591440727334,7.20626395846804,0.00161528078322448,0.0816661404173522
"343","PmetTSAr1.1-001285",2.23384104400211,2.66072663508148,1.61544675454108,2.29891789585238,9.26151607107133,2.181966802589,5.46875018918329,4.53904943322298,1.28078575984735,1.93402117811433,0.00163441704855398,0.0823927264913903
"344","PmetTSAr1.1-015285",5.33942493444408,8.79440172016405,8.19778950065623,12.7061813432922,21.1566386078501,12.7849617339199,19.1209538988711,20.9494589225676,1.07882355536868,3.77359542206013,0.00166020404252041,0.0834493840093615
"345","PmetTSAr1.1-003609",12.2316418141091,19.43730826049,20.3256957325094,23.5483752034609,40.2063920431343,30.85437431786,32.1043176573638,48.0673696390023,1.00127823296661,4.82755705798025,0.00167536769332469,0.0834835238768797
"346","PmetTSAr1.1-014182",18.8241970903105,25.9630904286372,23.6289226783621,14.3527036200514,9.65655704092745,12.8190549652103,9.79653810868086,9.62123298666067,-0.981815718620206,3.9693472640561,0.00167264051279815,0.0834835238768797
"347","PmetTSAr1.1-015376",2.09763122424589,0.896244761290604,5.06334057393473,4.97063328832947,13.1680323285374,7.15957857099514,7.00314772427788,8.8065318063386,1.46994739177905,2.62905380824795,0.00167086366903318,0.0834835238768797
"348","PmetTSAr1.1-006560",24.9808809432919,23.078302603233,7.69145544326276,16.2166911031749,74.574956420617,35.6956131611043,30.8846683345963,32.9760001558934,1.27455143987825,4.94494653128924,0.0016911240801427,0.0840265128441019
"349","PmetTSAr1.1-014306",17.434856928797,35.4576833685595,7.25745482263978,15.2536309035611,128.695569290906,23.7629822094458,53.9006313610152,30.4155107320241,1.65052903741793,5.28727520950669,0.00170217125251655,0.0843330748632199
