"","ID","U.1","U.3","U.4","R.4","U.2","R.1","R.2","R.3","logFC","logCPM","PValue","FDR"
"3245","PmetTSAr1.1-003284",43.2329967906263,49.6575613052575,39.1049362901497,37.5150495891164,23.0001631338454,52.3452970762491,40.7591929643017,37.5337243200062,-0.141270682127181,5.33863144187574,0.673059966023964,1
"3246","PmetTSAr1.1-003285",56.7722528743952,55.2590910633238,85.4717308451658,179.971370262576,103.369053779019,54.4188555970033,170.275256583336,148.16772095298,0.335376248370606,6.73830299329543,0.491011487468447,1
"3247","PmetTSAr1.1-003286",55.7915421721504,59.1241465963895,55.0946617653721,37.1270966461059,42.0499165691295,61.6280881284627,40.417461925729,33.2059364005086,-0.224132443359781,5.58875106381495,0.507186701949701,1
"3248","PmetTSAr1.1-003287",39.8549932606719,41.8994425903357,52.980881425364,75.6896191813507,150.642289838468,33.1769363320676,54.7390990877283,65.1528799517089,0.52916047115047,6.00700097212728,0.244272935269161,1
"3249","PmetTSAr1.1-003288",53.6121850560507,55.2870987121141,50.5602620037419,32.8596142729903,52.8477030785302,53.1650760263147,44.5182343886008,28.878148481011,-0.100313740957502,5.54023658112402,0.769882254098628,1
"3250","PmetTSAr1.1-003289",138.03503134096,174.12355252949,96.7565904023058,66.9218826693132,67.8592599330629,189.46538204752,53.7139059720104,57.4022052231541,-0.368859925560353,6.72267759544738,0.44895447657482,1
"3251","PmetTSAr1.1-003290",20.213537251824,21.0337442415389,16.7397765636124,14.3154635970879,14.8359830901522,18.6138043956077,17.7389475477258,16.5242811471725,-0.0946226861002837,4.13509657397637,0.762386353878333,1
"3252","PmetTSAr1.1-003291",61.2399349623994,59.7123072209865,69.1751662883293,69.5987579760857,65.1817600262603,62.9300899903317,68.5636729208947,72.6281499944774,0.0522667120956739,6.04856656186202,0.878256928275226,1
"3253","PmetTSAr1.1-003292",40.0184450443793,34.2533544705753,43.1279375824231,60.9474073469513,33.1395480268192,42.1945047827894,43.4309083567788,67.2380868583759,0.0608598333162343,5.5110919430346,0.861309939645313,1
"3254","PmetTSAr1.1-003293",30.1296121300773,29.5200618250093,34.8091891475526,56.9902873282441,31.0765562953483,33.972604136543,37.3418825785752,59.4874121298211,0.0963253812400252,5.29366597239055,0.785724870686675,1
"3255","PmetTSAr1.1-003294",24.545009520072,23.4424020375074,23.7629822094458,18.4277647929993,24.8875811009357,21.4830307208374,24.9463658158035,19.3570150581164,0.00753247516365147,4.50282118793175,0.981212667259681,1
"3256","PmetTSAr1.1-003295",37.4577004329623,42.4876032149327,36.343384555623,50.3950872970654,50.301883495013,29.3673753288214,55.3604282487695,41.8615122395038,0.0855796928790377,5.42648054893647,0.793856021167884,1
"3257","PmetTSAr1.1-003296",10.6516079049369,8.01018755403477,7.39823119002831,8.9617129835428,5.44278669579547,10.19901458464,5.99582640404743,7.12117830390054,-0.281677332193811,3.0076760739592,0.408770282207382,1
"3258","PmetTSAr1.1-003297",13.6482239395739,11.0910289209712,11.9326309516586,11.9101553504227,6.27676207660284,12.3690176877548,6.98995306171332,10.6227521660395,-0.420223037407431,3.41606661976367,0.214927277852425,1
"3259","PmetTSAr1.1-003298",12.6675132373291,13.0235566875041,10.7393678564927,8.61255533483335,14.9237699723424,11.4045718641482,14.0420390395308,7.31789593660498,0.0813917606880943,3.54316736185018,0.814193239040856,1
"3260","PmetTSAr1.1-003299",78.3751302877327,79.2336384278474,68.3569287373584,44.1490449145962,38.9334822513757,82.8217851022181,31.2528568003716,35.0157386213894,-0.52226243745912,5.84154961275545,0.189335740924794,1
"3261","PmetTSAr1.1-003300",10.2974623735707,9.27053174959968,10.4325287748786,12.9576282965511,8.99815542450058,12.0555727950827,14.5701688264158,15.2652882978642,0.245492848955329,3.56002301682694,0.457910473090508,1
"3262","PmetTSAr1.1-003301",56.0912037756141,63.2692786173586,64.3680206763754,69.3271909159783,64.0844239988822,51.1156286511506,66.3268879411464,87.1852548146056,0.0864975875056865,6.02858897914375,0.804043623615186,1
"3263","PmetTSAr1.1-003302",2.09763122424589,2.8567801766138,3.10248404743123,3.29760001558934,2.63360646570749,3.59256069293464,3.35517746962239,4.05238323371136,0.268688266508643,1.6720475625864,0.412251697133309,1
"3264","PmetTSAr1.1-003303",23.1556693585585,19.101216475006,24.1380077536408,26.6523671848221,10.7977865094007,27.7278174286902,16.0302923548625,32.3010352900682,-0.0985361572779946,4.49533454593034,0.789754205559532,1
"3265","PmetTSAr1.1-003304",6.48358742039638,6.04965213871158,6.30724778873382,7.29351532859761,4.82827852046372,6.99223222114796,7.14528535197362,7.23920888352321,0.00613272027897503,2.72422183592225,0.991056972144268,1
"3266","PmetTSAr1.1-003305",8.4177668609348,6.21769803145356,7.53460411519012,6.05206591096397,5.4866801368906,7.25745482263978,6.49288973288037,7.19986535698232,-0.0937123757341705,2.78648416225442,0.776208292699834,1
"3267","PmetTSAr1.1-003308",24.6812193398282,24.9828227209756,25.433550542678,18.8545130303108,22.6490156050844,25.9677038006081,24.0143720742418,17.8226175230218,-0.0545355910189211,4.53098488581227,0.862109184487203,1
"3268","PmetTSAr1.1-003309",78.6475499272452,71.4755197129256,89.3924524435679,195.179125628588,145.8579047591,54.3947444514131,171.08298449269,214.658280807079,0.430894204464093,6.99588896718631,0.375880073666977,1
"3269","PmetTSAr1.1-003310",39.2284280897932,35.4576833685595,42.4119797253236,31.152621323744,35.0269659939096,33.4903812247397,24.0143720742418,35.0157386213894,-0.217286174787808,5.11015569712459,0.483819576125535,1
"3270","PmetTSAr1.1-003311",38.9287664863295,36.4939663738018,45.4121840788835,29.8723766118094,35.6853676103364,36.5524967146907,21.9018529267017,35.8812962052889,-0.213218255821634,5.13568900953507,0.507452119994537,1
"3271","PmetTSAr1.1-003312",57.2081242976151,48.2851865145313,52.1285506431027,47.2526684586802,32.4811464103923,61.3146432357906,37.9321452815643,53.0350737771157,-0.148749676856596,5.60803380493976,0.655881619738143,1
"3272","PmetTSAr1.1-003313",35.0876495692039,35.4856910173498,33.8545786714199,26.6911624791232,41.874342804749,32.06782363492,26.4064893442503,17.4685257841538,-0.154650300667998,4.96264816690679,0.650077024731454,1
